,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Value
0,0,0,0,0,0,0,0,0,2010-01-01,14764.611
1,1,1,1,1,1,1,1,1,2010-04-01,14980.193
2,2,2,2,2,2,2,2,2,2010-07-01,15141.605
3,3,3,3,3,3,3,3,3,2010-10-01,15309.471
4,4,4,4,4,4,4,4,4,2011-01-01,15351.444
5,5,5,5,5,5,5,5,5,2011-04-01,15557.535
6,6,6,6,6,6,6,6,6,2011-07-01,15647.681
7,7,7,7,7,7,7,7,7,2011-10-01,15842.267
8,8,8,8,8,8,8,8,8,2012-01-01,16068.824
9,9,9,9,9,9,9,9,9,2012-04-01,16207.13
10,10,10,10,10,10,10,10,10,2012-07-01,16319.54
11,11,11,11,11,11,11,11,11,2012-10-01,16420.386
12,12,12,12,12,12,12,12,12,2013-01-01,16629.05
13,13,13,13,13,13,13,13,13,2013-04-01,16699.551
14,14,14,14,14,14,14,14,14,2013-07-01,16911.068
15,15,15,15,15,15,15,15,15,2013-10-01,17133.114
16,16,16,16,16,16,16,16,16,2014-01-01,17144.281
17,17,17,17,17,17,17,17,17,2014-04-01,17462.703
18,18,18,18,18,18,18,18,18,2014-07-01,17743.227
19,19,19,19,19,19,19,19,19,2014-10-01,17852.54
20,20,20,20,20,20,20,20,20,2015-01-01,17991.348
21,21,21,21,21,21,21,21,21,2015-04-01,18193.707
22,22,22,22,22,22,22,22,22,2015-07-01,18306.96
23,23,23,23,23,23,23,23,23,2015-10-01,18332.079
24,24,24,24,24,24,24,24,24,2016-01-01,18425.306
25,25,25,25,25,25,25,25,25,2016-04-01,18611.617
26,26,26,26,26,26,26,26,26,2016-07-01,18775.459
27,27,27,27,27,27,27,27,27,2016-10-01,18968.041
28,28,28,28,28,28,28,28,28,2017-01-01,19153.912
29,29,29,29,29,29,29,29,29,2017-04-01,19322.92
30,30,30,30,30,30,30,30,30,2017-07-01,19558.693
31,31,31,31,31,31,31,31,31,2017-10-01,19882.965
32,32,32,32,32,32,32,32,32,2018-01-01,20143.716
33,33,33,33,33,33,33,33,33,2018-04-01,20492.492
34,34,34,34,34,34,34,34,34,2018-07-01,20659.102
35,35,35,35,35,35,35,35,35,2018-10-01,20813.325
36,36,36,36,36,36,36,36,36,2019-01-01,21001.591
37,37,37,37,37,37,37,37,37,2019-04-01,21289.268
38,38,38,38,38,38,38,38,38,2019-07-01,21505.012
39,39,39,39,39,39,39,39,39,2019-10-01,21694.458
40,40,40,40,40,40,40,40,40,2020-01-01,21481.367
41,41,41,41,41,41,41,41,41,2020-04-01,19477.444
42,42,42,42,42,42,42,42,42,2020-07-01,21138.574
43,43,43,43,43,43,43,43,43,2020-10-01,21477.597
44,44,44,44,44,44,44,44,44,2021-01-01,22038.226
45,45,45,45,45,45,45,45,45,2021-04-01,22740.959
46,46,46,46,46,46,46,46,46,2021-07-01,23202.344
47,47,47,47,47,47,47,47,47,2021-10-01,23992.355
