,Date,Value
0,2010-01-01,14764.611
1,2010-04-01,14980.193
2,2010-07-01,15141.605
3,2010-10-01,15309.471
4,2011-01-01,15351.444
5,2011-04-01,15557.535
6,2011-07-01,15647.681
7,2011-10-01,15842.267
8,2012-01-01,16068.824
9,2012-04-01,16207.13
10,2012-07-01,16319.54
11,2012-10-01,16420.386
12,2013-01-01,16629.05
13,2013-04-01,16699.551
14,2013-07-01,16911.068
15,2013-10-01,17133.114
16,2014-01-01,17144.281
17,2014-04-01,17462.703
18,2014-07-01,17743.227
19,2014-10-01,17852.54
20,2015-01-01,17991.348
21,2015-04-01,18193.707
22,2015-07-01,18306.96
23,2015-10-01,18332.079
24,2016-01-01,18425.306
25,2016-04-01,18611.617
26,2016-07-01,18775.459
27,2016-10-01,18968.041
28,2017-01-01,19153.912
29,2017-04-01,19322.92
30,2017-07-01,19558.693
31,2017-10-01,19882.965
32,2018-01-01,20143.716
33,2018-04-01,20492.492
34,2018-07-01,20659.102
35,2018-10-01,20813.325
36,2019-01-01,21001.591
37,2019-04-01,21289.268
38,2019-07-01,21505.012
39,2019-10-01,21694.458
