,Date,Value
0,2019-12-31,258.263
1,2019-11-30,257.788
2,2019-10-31,257.305
3,2019-09-30,256.596
4,2019-08-31,256.179
5,2019-07-31,255.9
6,2019-06-30,255.361
7,2019-05-31,255.325
8,2019-04-30,255.163
9,2019-03-31,254.273
10,2019-02-28,253.135
11,2019-01-31,252.47
12,2018-12-31,252.551
13,2018-11-30,252.657
14,2018-10-31,252.862
15,2018-09-30,252.239
16,2018-08-31,251.749
17,2018-07-31,251.323
18,2018-06-30,251.118
19,2018-05-31,250.779
20,2018-04-30,250.146
21,2018-03-31,249.581
22,2018-02-28,249.439
23,2018-01-31,248.743
24,2017-12-31,247.805
25,2017-11-30,247.284
26,2017-10-31,246.626
27,2017-09-30,246.435
28,2017-08-31,245.183
29,2017-07-31,244.243
30,2017-06-30,244.163
31,2017-05-31,244.004
32,2017-04-30,244.193
33,2017-03-31,243.892
34,2017-02-28,244.006
35,2017-01-31,243.618
36,2016-12-31,242.637
37,2016-11-30,242.026
38,2016-10-31,241.741
39,2016-09-30,241.176
40,2016-08-31,240.545
41,2016-07-31,240.101
42,2016-06-30,240.222
43,2016-05-31,239.557
44,2016-04-30,238.992
45,2016-03-31,238.08
46,2016-02-29,237.336
47,2016-01-31,237.652
48,2015-12-31,237.761
49,2015-11-30,238.017
50,2015-10-31,237.733
51,2015-09-30,237.498
52,2015-08-31,238.033
53,2015-07-31,238.034
54,2015-06-30,237.657
55,2015-05-31,237.001
56,2015-04-30,236.222
57,2015-03-31,235.976
58,2015-02-28,235.342
59,2015-01-31,234.747
60,2014-12-31,236.252
61,2014-11-30,236.983
62,2014-10-31,237.43
63,2014-09-30,237.477
64,2014-08-31,237.46
65,2014-07-31,237.498
66,2014-06-30,237.231
67,2014-05-31,236.918
68,2014-04-30,236.468
69,2014-03-31,236.028
70,2014-02-28,235.547
71,2014-01-31,235.288
72,2013-12-31,234.719
73,2013-11-30,234.1
74,2013-10-31,233.669
75,2013-09-30,233.544
76,2013-08-31,233.456
77,2013-07-31,232.9
78,2013-06-30,232.445
79,2013-05-31,231.893
80,2013-04-30,231.797
81,2013-03-31,232.282
82,2013-02-28,232.937
83,2013-01-31,231.679
84,2012-12-31,231.221
85,2012-11-30,231.249
86,2012-10-31,231.638
87,2012-09-30,231.015
88,2012-08-31,229.918
89,2012-07-31,228.59
90,2012-06-30,228.524
91,2012-05-31,228.713
92,2012-04-30,229.187
93,2012-03-31,228.807
94,2012-02-29,228.329
95,2012-01-31,227.842
96,2011-12-31,227.223
97,2011-11-30,227.169
98,2011-10-31,226.75
99,2011-09-30,226.597
100,2011-08-31,226.106
101,2011-07-31,225.395
102,2011-06-30,224.806
103,2011-05-31,224.806
104,2011-04-30,224.093
105,2011-03-31,223.046
106,2011-02-28,221.898
107,2011-01-31,221.187
108,2010-12-31,220.472
109,2010-11-30,219.59
110,2010-10-31,219.035
111,2010-09-30,218.275
112,2010-08-31,217.923
113,2010-07-31,217.605
114,2010-06-30,217.199
115,2010-05-31,217.29
116,2010-04-30,217.403
117,2010-03-31,217.353
118,2010-02-28,217.281
119,2010-01-31,217.488
