,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,year,periodName,value
0,0,0,0,0,0,2019,December,28.26
1,1,1,1,1,1,2019,November,28.01
2,2,2,2,2,2,2019,October,27.93
3,3,3,3,3,3,2019,September,28.07
4,4,4,4,4,4,2019,August,27.68
5,5,5,5,5,5,2019,July,27.58
6,6,6,6,6,6,2019,June,27.66
7,7,7,7,7,7,2019,May,27.53
8,8,8,8,8,8,2019,April,27.63
9,9,9,9,9,9,2019,March,27.57
10,10,10,10,10,10,2019,February,27.58
11,11,11,11,11,11,2019,January,27.51
12,12,12,12,12,12,2018,December,27.44
13,13,13,13,13,13,2018,November,27.09
14,14,14,14,14,14,2018,October,27.04
15,15,15,15,15,15,2018,September,27.21
16,16,16,16,16,16,2018,August,26.71
17,17,17,17,17,17,2018,July,26.82
18,18,18,18,18,18,2018,June,26.48
19,19,19,19,19,19,2018,May,26.62
20,20,20,20,20,20,2018,April,26.91
21,21,21,21,21,21,2018,March,26.6
22,22,22,22,22,22,2018,February,26.58
23,23,23,23,23,23,2018,January,26.6
24,24,24,24,24,24,2017,December,26.26
25,25,25,25,25,25,2017,November,26.17
26,26,26,26,26,26,2017,October,26.34
27,27,27,27,27,27,2017,September,26.15
28,28,28,28,28,28,2017,August,25.84
29,29,29,29,29,29,2017,July,26.03
30,30,30,30,30,30,2017,June,25.7
31,31,31,31,31,31,2017,May,25.83
32,32,32,32,32,32,2017,April,26.16
33,33,33,33,33,33,2017,March,25.86
34,34,34,34,34,34,2017,February,25.91
35,35,35,35,35,35,2017,January,26.06
36,36,36,36,36,36,2016,December,25.54
37,37,37,37,37,37,2016,November,25.54
38,38,38,38,38,38,2016,October,25.73
39,39,39,39,39,39,2016,September,25.41
40,40,40,40,40,40,2016,August,25.17
41,41,41,41,41,41,2016,July,25.18
42,42,42,42,42,42,2016,June,25.08
43,43,43,43,43,43,2016,May,25.39
44,44,44,44,44,44,2016,April,25.3
45,45,45,45,45,45,2016,March,25.21
46,46,46,46,46,46,2016,February,25.23
47,47,47,47,47,47,2016,January,25.25
48,48,48,48,48,48,2015,December,24.89
49,49,49,49,49,49,2015,November,25.11
50,50,50,50,50,50,2015,October,24.85
51,51,51,51,51,51,2015,September,24.76
52,52,52,52,52,52,2015,August,24.74
53,53,53,53,53,53,2015,July,24.51
54,54,54,54,54,54,2015,June,24.47
55,55,55,55,55,55,2015,May,24.59
56,56,56,56,56,56,2015,April,24.67
57,57,57,57,57,57,2015,March,24.79
58,58,58,58,58,58,2015,February,24.82
59,59,59,59,59,59,2015,January,24.61
60,60,60,60,60,60,2014,December,24.27
61,61,61,61,61,61,2014,November,24.52
62,62,62,62,62,62,2014,October,24.21
63,63,63,63,63,63,2014,September,24.19
64,64,64,64,64,64,2014,August,23.99
65,65,65,65,65,65,2014,July,23.97
66,66,66,66,66,66,2014,June,24.13
67,67,67,67,67,67,2014,May,24.0
68,68,68,68,68,68,2014,April,24.1
69,69,69,69,69,69,2014,March,24.23
70,70,70,70,70,70,2014,February,24.32
71,71,71,71,71,71,2014,January,24.06
72,72,72,72,72,72,2013,December,23.99
73,73,73,73,73,73,2013,November,23.81
74,74,74,74,74,74,2013,October,23.74
75,75,75,75,75,75,2013,September,23.89
76,76,76,76,76,76,2013,August,23.47
77,77,77,77,77,77,2013,July,23.49
78,78,78,78,78,78,2013,June,23.65
79,79,79,79,79,79,2013,May,23.5
80,80,80,80,80,80,2013,April,23.65
81,81,81,81,81,81,2013,March,23.57
82,82,82,82,82,82,2013,February,23.65
83,83,83,83,83,83,2013,January,23.62
84,84,84,84,84,84,2012,December,23.57
85,85,85,85,85,85,2012,November,23.3
86,86,86,86,86,86,2012,October,23.23
87,87,87,87,87,87,2012,September,23.4
88,88,88,88,88,88,2012,August,22.95
89,89,89,89,89,89,2012,July,23.19
90,90,90,90,90,90,2012,June,22.96
91,91,91,91,91,91,2012,May,23.02
92,92,92,92,92,92,2012,April,23.34
93,93,93,93,93,93,2012,March,23.08
94,94,94,94,94,94,2012,February,23.11
95,95,95,95,95,95,2012,January,23.29
96,96,96,96,96,96,2011,December,22.88
97,97,97,97,97,97,2011,November,22.83
98,98,98,98,98,98,2011,October,23.0
99,99,99,99,99,99,2011,September,22.71
100,100,100,100,100,100,2011,August,22.48
101,101,101,101,101,101,2011,July,22.59
102,102,102,102,102,102,2011,June,22.47
103,103,103,103,103,103,2011,May,22.75
104,104,104,104,104,104,2011,April,22.63
105,105,105,105,105,105,2011,March,22.57
106,106,106,106,106,106,2011,February,22.68
107,107,107,107,107,107,2011,January,22.85
108,108,108,108,108,108,2010,December,22.4
109,109,109,109,109,109,2010,November,22.34
110,110,110,110,110,110,2010,October,22.33
111,111,111,111,111,111,2010,September,22.24
112,112,112,112,112,112,2010,August,22.18
113,113,113,113,113,113,2010,July,22.03
114,114,114,114,114,114,2010,June,21.98
115,115,115,115,115,115,2010,May,22.27
116,116,116,116,116,116,2010,April,22.19
117,117,117,117,117,117,2010,March,22.14
118,118,118,118,118,118,2010,February,22.23
119,119,119,119,119,119,2010,January,22.16
