,year,periodName,value
0,2021,December,31.23
1,2021,November,31.04
2,2021,October,30.99
3,2021,September,30.78
4,2021,August,30.71
5,2021,July,30.36
6,2021,June,30.15
7,2021,May,30.44
8,2021,April,30.21
9,2021,March,29.95
10,2021,February,30.08
11,2021,January,29.99
12,2020,December,29.71
13,2020,November,29.65
14,2020,October,29.32
15,2020,September,29.29
16,2020,August,29.35
17,2020,July,29.03
18,2020,June,28.94
19,2020,May,29.54
20,2020,April,30.08
21,2020,March,28.73
22,2020,February,28.63
23,2020,January,28.34
24,2019,December,28.26
25,2019,November,28.01
26,2019,October,27.93
27,2019,September,28.07
28,2019,August,27.68
29,2019,July,27.58
30,2019,June,27.66
31,2019,May,27.53
32,2019,April,27.63
33,2019,March,27.57
34,2019,February,27.58
35,2019,January,27.51
36,2018,December,27.44
37,2018,November,27.09
38,2018,October,27.04
39,2018,September,27.21
40,2018,August,26.71
41,2018,July,26.82
42,2018,June,26.48
43,2018,May,26.62
44,2018,April,26.91
45,2018,March,26.60
46,2018,February,26.58
47,2018,January,26.60
