,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,realtime_start,realtime_end,date,value
0,0,0,0,0,0,0,0,2023-03-30,2023-03-30,2010-01-01,5.03
1,1,1,1,1,1,1,1,2023-03-30,2023-03-30,2010-02-01,4.99
2,2,2,2,2,2,2,2,2023-03-30,2023-03-30,2010-03-01,4.97
3,3,3,3,3,3,3,3,2023-03-30,2023-03-30,2010-04-01,5.1
4,4,4,4,4,4,4,4,2023-03-30,2023-03-30,2010-05-01,4.89
5,5,5,5,5,5,5,5,2023-03-30,2023-03-30,2010-06-01,4.74
6,6,6,6,6,6,6,6,2023-03-30,2023-03-30,2010-07-01,4.56
7,7,7,7,7,7,7,7,2023-03-30,2023-03-30,2010-08-01,4.43
8,8,8,8,8,8,8,8,2023-03-30,2023-03-30,2010-09-01,4.35
9,9,9,9,9,9,9,9,2023-03-30,2023-03-30,2010-10-01,4.23
10,10,10,10,10,10,10,10,2023-03-30,2023-03-30,2010-11-01,4.3
11,11,11,11,11,11,11,11,2023-03-30,2023-03-30,2010-12-01,4.71
12,12,12,12,12,12,12,12,2023-03-30,2023-03-30,2011-01-01,4.76
13,13,13,13,13,13,13,13,2023-03-30,2023-03-30,2011-02-01,4.95
14,14,14,14,14,14,14,14,2023-03-30,2023-03-30,2011-03-01,4.84
15,15,15,15,15,15,15,15,2023-03-30,2023-03-30,2011-04-01,4.84
16,16,16,16,16,16,16,16,2023-03-30,2023-03-30,2011-05-01,4.64
17,17,17,17,17,17,17,17,2023-03-30,2023-03-30,2011-06-01,4.51
18,18,18,18,18,18,18,18,2023-03-30,2023-03-30,2011-07-01,4.55
19,19,19,19,19,19,19,19,2023-03-30,2023-03-30,2011-08-01,4.27
20,20,20,20,20,20,20,20,2023-03-30,2023-03-30,2011-09-01,4.11
21,21,21,21,21,21,21,21,2023-03-30,2023-03-30,2011-10-01,4.07
22,22,22,22,22,22,22,22,2023-03-30,2023-03-30,2011-11-01,3.99
23,23,23,23,23,23,23,23,2023-03-30,2023-03-30,2011-12-01,3.96
24,24,24,24,24,24,24,24,2023-03-30,2023-03-30,2012-01-01,3.92
25,25,25,25,25,25,25,25,2023-03-30,2023-03-30,2012-02-01,3.89
26,26,26,26,26,26,26,26,2023-03-30,2023-03-30,2012-03-01,3.95
27,27,27,27,27,27,27,27,2023-03-30,2023-03-30,2012-04-01,3.91
28,28,28,28,28,28,28,28,2023-03-30,2023-03-30,2012-05-01,3.8
29,29,29,29,29,29,29,29,2023-03-30,2023-03-30,2012-06-01,3.68
30,30,30,30,30,30,30,30,2023-03-30,2023-03-30,2012-07-01,3.55
31,31,31,31,31,31,31,31,2023-03-30,2023-03-30,2012-08-01,3.6
32,32,32,32,32,32,32,32,2023-03-30,2023-03-30,2012-09-01,3.5
33,33,33,33,33,33,33,33,2023-03-30,2023-03-30,2012-10-01,3.38
34,34,34,34,34,34,34,34,2023-03-30,2023-03-30,2012-11-01,3.35
35,35,35,35,35,35,35,35,2023-03-30,2023-03-30,2012-12-01,3.35
36,36,36,36,36,36,36,36,2023-03-30,2023-03-30,2013-01-01,3.41
37,37,37,37,37,37,37,37,2023-03-30,2023-03-30,2013-02-01,3.53
38,38,38,38,38,38,38,38,2023-03-30,2023-03-30,2013-03-01,3.57
39,39,39,39,39,39,39,39,2023-03-30,2023-03-30,2013-04-01,3.45
40,40,40,40,40,40,40,40,2023-03-30,2023-03-30,2013-05-01,3.54
41,41,41,41,41,41,41,41,2023-03-30,2023-03-30,2013-06-01,4.07
42,42,42,42,42,42,42,42,2023-03-30,2023-03-30,2013-07-01,4.37
43,43,43,43,43,43,43,43,2023-03-30,2023-03-30,2013-08-01,4.46
44,44,44,44,44,44,44,44,2023-03-30,2023-03-30,2013-09-01,4.49
45,45,45,45,45,45,45,45,2023-03-30,2023-03-30,2013-10-01,4.19
46,46,46,46,46,46,46,46,2023-03-30,2023-03-30,2013-11-01,4.26
47,47,47,47,47,47,47,47,2023-03-30,2023-03-30,2013-12-01,4.46
48,48,48,48,48,48,48,48,2023-03-30,2023-03-30,2014-01-01,4.43
49,49,49,49,49,49,49,49,2023-03-30,2023-03-30,2014-02-01,4.3
50,50,50,50,50,50,50,50,2023-03-30,2023-03-30,2014-03-01,4.34
