,Date,Value
0,2021-12-01,3.9
1,2021-11-01,4.2
2,2021-10-01,4.6
3,2021-09-01,4.7
4,2021-08-01,5.2
5,2021-07-01,5.4
6,2021-06-01,5.9
7,2021-05-01,5.8
8,2021-04-01,6.0
9,2021-03-01,6.0
10,2021-02-01,6.2
11,2021-01-01,6.4
12,2020-12-01,6.7
13,2020-11-01,6.7
14,2020-10-01,6.9
15,2020-09-01,7.9
16,2020-08-01,8.4
17,2020-07-01,10.2
18,2020-06-01,11.0
19,2020-05-01,13.2
20,2020-04-01,14.7
21,2020-03-01,4.4
22,2020-02-01,3.5
23,2020-01-01,3.5
24,2019-12-01,3.6
25,2019-11-01,3.6
26,2019-10-01,3.6
27,2019-09-01,3.5
28,2019-08-01,3.7
29,2019-07-01,3.7
30,2019-06-01,3.6
31,2019-05-01,3.6
32,2019-04-01,3.6
33,2019-03-01,3.8
34,2019-02-01,3.8
35,2019-01-01,4.0
36,2018-12-01,3.9
37,2018-11-01,3.8
38,2018-10-01,3.8
39,2018-09-01,3.7
40,2018-08-01,3.8
41,2018-07-01,3.8
42,2018-06-01,4.0
43,2018-05-01,3.8
44,2018-04-01,4.0
45,2018-03-01,4.0
46,2018-02-01,4.1
47,2018-01-01,4.0
48,2017-12-01,4.1
49,2017-11-01,4.2
50,2017-10-01,4.2
51,2017-09-01,4.3
52,2017-08-01,4.4
53,2017-07-01,4.3
54,2017-06-01,4.3
55,2017-05-01,4.4
56,2017-04-01,4.4
57,2017-03-01,4.4
58,2017-02-01,4.6
59,2017-01-01,4.7
60,2016-12-01,4.7
61,2016-11-01,4.7
62,2016-10-01,4.9
63,2016-09-01,5.0
64,2016-08-01,4.9
65,2016-07-01,4.8
66,2016-06-01,4.9
67,2016-05-01,4.8
68,2016-04-01,5.1
69,2016-03-01,5.0
70,2016-02-01,4.9
71,2016-01-01,4.8
72,2015-12-01,5.0
73,2015-11-01,5.1
74,2015-10-01,5.0
75,2015-09-01,5.0
76,2015-08-01,5.1
77,2015-07-01,5.2
78,2015-06-01,5.3
79,2015-05-01,5.6
80,2015-04-01,5.4
81,2015-03-01,5.4
82,2015-02-01,5.5
83,2015-01-01,5.7
84,2014-12-01,5.6
85,2014-11-01,5.8
86,2014-10-01,5.7
87,2014-09-01,5.9
88,2014-08-01,6.1
89,2014-07-01,6.2
90,2014-06-01,6.1
91,2014-05-01,6.3
92,2014-04-01,6.2
93,2014-03-01,6.7
94,2014-02-01,6.7
95,2014-01-01,6.6
96,2013-12-01,6.7
97,2013-11-01,6.9
98,2013-10-01,7.2
99,2013-09-01,7.2
100,2013-08-01,7.2
101,2013-07-01,7.3
102,2013-06-01,7.5
103,2013-05-01,7.5
104,2013-04-01,7.6
105,2013-03-01,7.5
106,2013-02-01,7.7
107,2013-01-01,8.0
108,2012-12-01,7.9
109,2012-11-01,7.7
110,2012-10-01,7.8
111,2012-09-01,7.8
112,2012-08-01,8.1
113,2012-07-01,8.2
114,2012-06-01,8.2
115,2012-05-01,8.2
116,2012-04-01,8.2
117,2012-03-01,8.2
118,2012-02-01,8.3
119,2012-01-01,8.3
120,2011-12-01,8.5
121,2011-11-01,8.6
122,2011-10-01,8.8
123,2011-09-01,9.0
124,2011-08-01,9.0
125,2011-07-01,9.0
126,2011-06-01,9.1
127,2011-05-01,9.0
128,2011-04-01,9.1
129,2011-03-01,9.0
130,2011-02-01,9.0
131,2011-01-01,9.1
132,2010-12-01,9.3
133,2010-11-01,9.8
134,2010-10-01,9.4
135,2010-09-01,9.5
136,2010-08-01,9.5
137,2010-07-01,9.4
138,2010-06-01,9.4
139,2010-05-01,9.6
140,2010-04-01,9.9
141,2010-03-01,9.9
142,2010-02-01,9.8
143,2010-01-01,9.8
