,Date,Value
0,2019-12-01,3.6
1,2019-11-01,3.6
2,2019-10-01,3.6
3,2019-09-01,3.5
4,2019-08-01,3.7
5,2019-07-01,3.7
6,2019-06-01,3.6
7,2019-05-01,3.6
8,2019-04-01,3.6
9,2019-03-01,3.8
10,2019-02-01,3.8
11,2019-01-01,4.0
12,2018-12-01,3.9
13,2018-11-01,3.8
14,2018-10-01,3.8
15,2018-09-01,3.7
16,2018-08-01,3.8
17,2018-07-01,3.8
18,2018-06-01,4.0
19,2018-05-01,3.8
20,2018-04-01,4.0
21,2018-03-01,4.0
22,2018-02-01,4.1
23,2018-01-01,4.0
24,2017-12-01,4.1
25,2017-11-01,4.2
26,2017-10-01,4.2
27,2017-09-01,4.3
28,2017-08-01,4.4
29,2017-07-01,4.3
30,2017-06-01,4.3
31,2017-05-01,4.4
32,2017-04-01,4.4
33,2017-03-01,4.4
34,2017-02-01,4.6
35,2017-01-01,4.7
36,2016-12-01,4.7
37,2016-11-01,4.7
38,2016-10-01,4.9
39,2016-09-01,5.0
40,2016-08-01,4.9
41,2016-07-01,4.8
42,2016-06-01,4.9
43,2016-05-01,4.8
44,2016-04-01,5.1
45,2016-03-01,5.0
46,2016-02-01,4.9
47,2016-01-01,4.8
48,2015-12-01,5.0
49,2015-11-01,5.1
50,2015-10-01,5.0
51,2015-09-01,5.0
52,2015-08-01,5.1
53,2015-07-01,5.2
54,2015-06-01,5.3
55,2015-05-01,5.6
56,2015-04-01,5.4
57,2015-03-01,5.4
58,2015-02-01,5.5
59,2015-01-01,5.7
60,2014-12-01,5.6
61,2014-11-01,5.8
62,2014-10-01,5.7
63,2014-09-01,5.9
64,2014-08-01,6.1
65,2014-07-01,6.2
66,2014-06-01,6.1
67,2014-05-01,6.3
68,2014-04-01,6.2
69,2014-03-01,6.7
70,2014-02-01,6.7
71,2014-01-01,6.6
72,2013-12-01,6.7
73,2013-11-01,6.9
74,2013-10-01,7.2
75,2013-09-01,7.2
76,2013-08-01,7.2
77,2013-07-01,7.3
78,2013-06-01,7.5
79,2013-05-01,7.5
80,2013-04-01,7.6
81,2013-03-01,7.5
82,2013-02-01,7.7
83,2013-01-01,8.0
84,2012-12-01,7.9
85,2012-11-01,7.7
86,2012-10-01,7.8
87,2012-09-01,7.8
88,2012-08-01,8.1
89,2012-07-01,8.2
90,2012-06-01,8.2
91,2012-05-01,8.2
92,2012-04-01,8.2
93,2012-03-01,8.2
94,2012-02-01,8.3
95,2012-01-01,8.3
96,2011-12-01,8.5
97,2011-11-01,8.6
98,2011-10-01,8.8
99,2011-09-01,9.0
100,2011-08-01,9.0
101,2011-07-01,9.0
102,2011-06-01,9.1
103,2011-05-01,9.0
104,2011-04-01,9.1
105,2011-03-01,9.0
106,2011-02-01,9.0
107,2011-01-01,9.1
108,2010-12-01,9.3
109,2010-11-01,9.8
110,2010-10-01,9.4
111,2010-09-01,9.5
112,2010-08-01,9.5
113,2010-07-01,9.4
114,2010-06-01,9.4
115,2010-05-01,9.6
116,2010-04-01,9.9
117,2010-03-01,9.9
118,2010-02-01,9.8
119,2010-01-01,9.8
