,0,1,2,3
0,ZSFH,102001,2023-02-28,327390.075461784
1,ZSFH,102001,2023-01-31,327494.641723615
2,ZSFH,102001,2022-12-31,328203.601974163
3,ZSFH,102001,2022-11-30,329938.455845848
4,ZSFH,102001,2022-10-31,357416.0
5,ZSFH,102001,2022-09-30,357101.0
6,ZSFH,102001,2022-08-31,357331.0
7,ZSFH,102001,2022-07-31,357041.0
8,ZSFH,102001,2022-06-30,353098.0
9,ZSFH,102001,2022-05-31,349790.0
10,ZSFH,102001,2022-04-30,345488.0
11,ZSFH,102001,2022-03-31,339801.0
12,ZSFH,102001,2022-02-28,333905.0
13,ZSFH,102001,2022-01-31,327587.0
14,ZSFH,102001,2021-12-31,322050.0
15,ZSFH,102001,2021-11-30,317665.0
16,ZSFH,102001,2021-10-31,313749.0
17,ZSFH,102001,2021-09-30,309609.0
18,ZSFH,102001,2021-08-31,304933.0
19,ZSFH,102001,2021-07-31,298319.0
20,ZSFH,102001,2021-06-30,292477.0
21,ZSFH,102001,2021-05-31,286907.0
22,ZSFH,102001,2021-04-30,281827.0
23,ZSFH,102001,2021-03-31,277736.0
24,ZSFH,102001,2021-02-28,273699.0
25,ZSFH,102001,2021-01-31,269769.0
26,ZSFH,102001,2020-12-31,265679.0
27,ZSFH,102001,2020-11-30,262352.0
28,ZSFH,102001,2020-10-31,259426.0
29,ZSFH,102001,2020-09-30,257237.0
30,ZSFH,102001,2020-08-31,256452.0
31,ZSFH,102001,2020-07-31,254490.0
32,ZSFH,102001,2020-06-30,252133.0
33,ZSFH,102001,2020-05-31,249715.0
34,ZSFH,102001,2020-04-30,248672.0
35,ZSFH,102001,2020-03-31,247530.0
36,ZSFH,102001,2020-02-29,246708.0
37,ZSFH,102001,2020-01-31,245771.0
38,ZSFH,102001,2019-12-31,244909.0
39,ZSFH,102001,2019-11-30,244088.0
40,ZSFH,102001,2019-10-31,243283.0
41,ZSFH,102001,2019-09-30,242460.0
42,ZSFH,102001,2019-08-31,241651.0
43,ZSFH,102001,2019-07-31,240889.0
44,ZSFH,102001,2019-06-30,240036.0
45,ZSFH,102001,2019-05-31,239234.0
46,ZSFH,102001,2019-04-30,238505.0
47,ZSFH,102001,2019-03-31,237934.0
48,ZSFH,102001,2019-02-28,237317.0
49,ZSFH,102001,2019-01-31,236569.0
50,ZSFH,102001,2018-12-31,235710.0
51,ZSFH,102001,2018-11-30,234832.0
52,ZSFH,102001,2018-10-31,233939.0
53,ZSFH,102001,2018-09-30,233021.0
54,ZSFH,102001,2018-08-31,232037.0
55,ZSFH,102001,2018-07-31,231003.0
56,ZSFH,102001,2018-06-30,229871.0
57,ZSFH,102001,2018-05-31,228712.0
58,ZSFH,102001,2018-04-30,227491.0
59,ZSFH,102001,2018-03-31,226272.0
60,ZSFH,102001,2018-02-28,225068.0
61,ZSFH,102001,2018-01-31,223858.0
62,ZSFH,102001,2017-12-31,222668.0
63,ZSFH,102001,2017-11-30,221419.0
64,ZSFH,102001,2017-10-31,220148.0
65,ZSFH,102001,2017-09-30,218913.0
66,ZSFH,102001,2017-08-31,217742.0
67,ZSFH,102001,2017-07-31,216614.0
68,ZSFH,102001,2017-06-30,215508.0
69,ZSFH,102001,2017-05-31,214356.0
70,ZSFH,102001,2017-04-30,213212.0
71,ZSFH,102001,2017-03-31,212062.0
72,ZSFH,102001,2017-02-28,210959.0
73,ZSFH,102001,2017-01-31,209930.0
74,ZSFH,102001,2016-12-31,208878.0
75,ZSFH,102001,2016-11-30,207807.0
76,ZSFH,102001,2016-10-31,206711.0
77,ZSFH,102001,2016-09-30,205685.0
78,ZSFH,102001,2016-08-31,204666.0
79,ZSFH,102001,2016-07-31,203654.0
80,ZSFH,102001,2016-06-30,202653.0
81,ZSFH,102001,2016-05-31,201679.0
82,ZSFH,102001,2016-04-30,200777.0
83,ZSFH,102001,2016-03-31,199894.0
84,ZSFH,102001,2016-02-29,199046.0
85,ZSFH,102001,2016-01-31,198098.0
86,ZSFH,102001,2015-12-31,197178.0
87,ZSFH,102001,2015-11-30,196335.0
88,ZSFH,102001,2015-10-31,195569.0
89,ZSFH,102001,2015-09-30,194720.0
90,ZSFH,102001,2015-08-31,193850.0
91,ZSFH,102001,2015-07-31,193012.0
